SEASON,MATCH_TYPE,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FTM,FTA,FGM_2,FG3M_2,FTM_2,DD,TD,FP,PIE,FG_PCT,FG3_PCT,FT_PCT,MVP,ROY,DPOY,MIP,6MOY,All-NBA-Team,All-Defensive-Team,All-Rookie-Team,All-Star,All-Star-MVP,Finals-MVP,POTW,POTM,ROTM,ROOKIE_SEASON,PPG,RBG,APG,SPG,BPG,TPG,FG3APG,FG3MPG,FTMPG,FTAPG,WIN_PCT,GP_PCT
2000-01,Regular,Erick Barkley,2057,8,7,1,37.35,19.0,3.0,6.0,2.0,0.0,5.0,8.0,22.0,3.0,8.0,0.0,0.0,8.0,3.0,0.0,0,0,32.6,0.0568579267832137,0.3636,0.375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2.4,0.4,0.8,0.2,0.0,0.6,1.0,0.4,0.0,0.0,0.875,0.098
2000-01,Regular,Erick Dampier,956,43,7,36,1041.7333333333331,319.0,250.0,59.0,17.0,58.0,82.0,126.0,314.0,0.0,2.0,67.0,126.0,126.0,0.0,67.0,4,0,850.5,1.1960210080625415,0.4013,0.0,0.5317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,7.4,5.8,1.4,0.4,1.3,1.9,0.0,0.0,1.6,2.9,0.163,0.524
2000-01,Regular,Erick Strickland,1065,50,21,29,828.4333333333333,260.0,128.0,95.0,44.0,2.0,48.0,81.0,267.0,30.0,95.0,68.0,79.0,81.0,30.0,68.0,0,0,646.1,1.2440630188224395,0.3034,0.3158,0.8608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,5.2,2.6,1.9,0.9,0.0,1.0,1.9,0.6,1.4,1.6,0.42,0.61
2000-01,Regular,Ervin Johnson,911,82,52,30,1983.3333333333333,266.0,613.0,40.0,44.0,97.0,47.0,108.0,198.0,0.0,0.0,50.0,93.0,108.0,0.0,50.0,2,0,1437.6,2.9974008668068883,0.5455,,0.5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,3.2,7.5,0.5,0.5,1.2,0.6,0.0,0.0,0.6,1.1,0.634,1.0
2000-01,Regular,Etdrick Bohannon,1564,6,1,5,17.9,8.0,7.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,4.0,4.0,2.0,0.0,4.0,0,0,21.4,0.0385313961212549,0.5,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.3,1.2,0.0,0.0,0.3,0.2,0.0,0.0,0.7,0.7,0.167,0.073
2000-01,Regular,Evan Eschmeyer,1915,74,23,51,1335.35,251.0,366.0,40.0,41.0,58.0,53.0,92.0,200.0,0.0,0.0,67.0,102.0,92.0,0.0,67.0,0,0,994.2,1.6830646750894769,0.46,,0.6569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,3.4,4.9,0.5,0.6,0.8,0.7,0.0,0.0,0.9,1.4,0.311,0.902
2000-01,Regular,Felipe Lopez,1732,70,23,47,1565.9166666666667,550.0,234.0,107.0,62.0,30.0,83.0,211.0,478.0,19.0,52.0,109.0,156.0,211.0,19.0,109.0,2,0,1184.3,2.667940230252081,0.4414,0.3654,0.6987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,7.9,3.3,1.5,0.9,0.4,1.2,0.7,0.3,1.6,2.2,0.329,0.854
2000-01,Regular,Felton Spencer,280,18,8,10,112.3,39.0,35.0,2.0,2.0,2.0,11.0,12.0,20.0,0.0,0.0,15.0,25.0,12.0,0.0,15.0,0,0,85.0,0.1260674661706874,0.6,,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2.2,1.9,0.1,0.1,0.1,0.6,0.0,0.0,0.8,1.4,0.444,0.22
2000-01,Regular,Fred Hoiberg,697,74,14,60,2245.116666666667,673.0,308.0,263.0,98.0,12.0,74.0,217.0,494.0,103.0,249.0,136.0,157.0,217.0,103.0,136.0,3,0,1693.1,5.367485840950814,0.4393,0.4137,0.8662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,9.1,4.2,3.6,1.3,0.2,1.0,3.4,1.4,1.8,2.1,0.189,0.902
2000-01,Regular,Garth Joseph,2123,4,3,1,15.7,2.0,2.0,1.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0,6.9,-0.0230559275230605,0.2,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0.5,0.5,0.2,0.0,0.2,0.5,0.0,0.0,0.0,0.5,0.75,0.049
2000-01,Regular,Gary Grant,202,4,4,0,17.15,10.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,11.5,0.0437650105571611,0.7143,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.049
2000-01,Regular,Gary Payton,56,79,43,36,3244.133333333333,1823.0,361.0,642.0,127.0,26.0,209.0,725.0,1591.0,102.0,272.0,271.0,354.0,725.0,102.0,271.0,27,2,3469.2,9.944008889575992,0.4557,0.375,0.7655,0,0,0,0,0,3,1,0,1,0,0,0,0,0,False,23.1,4.6,8.1,1.6,0.3,2.6,3.4,1.3,3.4,4.5,0.544,0.963
2000-01,Regular,Gary Trent,718,33,21,12,322.01666666666665,133.0,92.0,10.0,13.0,8.0,22.0,57.0,130.0,0.0,1.0,19.0,36.0,57.0,0.0,19.0,0,0,299.40000000000003,0.4288257418430533,0.4385,0.0,0.5278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,4.0,2.8,0.3,0.4,0.2,0.7,0.0,0.0,0.6,1.1,0.636,0.402
2000-01,Regular,George Lynch,248,82,56,26,2648.5333333333333,686.0,590.0,139.0,99.0,30.0,109.0,274.0,616.0,15.0,57.0,123.0,171.0,274.0,15.0,123.0,7,0,1880.5,4.791575007295079,0.4448,0.2632,0.7193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,8.4,7.2,1.7,1.2,0.4,1.3,0.7,0.2,1.5,2.1,0.683,1.0
